input,target,embedding,cluster_label
"Is the following sentence plausible? ""Jack Flaherty walked to first base in the National League Championship Series.""",yes,"[-0.12873320281505585, -0.10561702400445938, -0.025387940928339958, 0.09118933975696564, 0.05316720902919769, -0.08680523931980133, 0.056754205375909805, 0.10067494213581085, -0.020764704793691635, 0.028576379641890526, 0.01790507510304451, 0.253799706697464, 0.008120554499328136, 0.1579074114561081, 0.006989655084908009, 0.03901851549744606, -0.18413232266902924, 0.059185389429330826, -0.08688494563102722, 0.1748858541250229, -0.019857993349432945, -0.08879800885915756, 0.04300406202673912, 0.02080455981194973, -0.1718568354845047, -0.009366038255393505, -0.12004470825195312, -0.02514880895614624, -0.13367527723312378, -0.03140611946582794, 0.13016800582408905, -0.03547137603163719, -0.09015309810638428, -0.0870443657040596, 0.09979812055826187, -0.033179689198732376, -0.009684882126748562, -0.0818631574511528, 0.08202257752418518, 0.04475770518183708, -0.13805937767028809, -0.06432674825191498, 0.0516527034342289, 0.2027846872806549, 0.06412746757268906, -0.06771446019411087, 0.13487094640731812, -0.002523350063711405, -0.11127649992704391, 0.1165374219417572, 0.011777294799685478, 0.059344809502363205, 0.046591054648160934, 0.13455210626125336, 0.0072487154975533485, -0.10816777497529984, 0.1777554452419281, -0.17026260495185852, 0.06759489327669144, -0.10609529167413712, 0.03162532299757004, -0.11470407247543335, 0.07050434499979019, 0.01704818196594715, -0.13750140368938446, -0.07349350303411484, -0.05643536150455475, 0.13845793902873993, 0.18253810703754425, 0.18237867951393127, -0.021980296820402145, -0.07883413881063461, -0.2088427096605301, 0.12968973815441132, -0.09788505733013153, -0.04264536499977112, -0.05914553254842758, 0.07727977633476257, -0.07600440084934235, -0.08728349953889847, 0.0530874989926815, 0.12219690531492233, -0.05021790415048599, -0.22143705189228058, 0.014587106183171272, -0.16468285024166107, -0.1328781694173813, -0.10936343669891357, -0.033677879720926285, -0.04615264758467674, -0.01036242488771677, 0.106174997985363, 0.006117816083133221, 0.07480873912572861, -0.0656021237373352, 0.10760979354381561, 0.06787388026714325, -0.04758744314312935, 0.03907829895615578, 0.009839321486651897]",1
"Is the following sentence plausible? ""Tom Brady converted the first down.""",yes,"[-0.03145916014909744, -0.07875151932239532, -0.03197726234793663, 0.11224164068698883, -0.07100071758031845, -0.044349540024995804, 0.12393002957105637, 0.07004740834236145, 0.10544414073228836, -0.08190158009529114, 0.1168009415268898, 0.24122834205627441, 0.053468137979507446, 0.05728137120604515, 0.16430054605007172, -0.10444939136505127, -0.028516341000795364, -0.0829792395234108, -0.020527206361293793, -0.00031345177558250725, 0.01820610836148262, 0.045012712478637695, -0.11000344157218933, -0.05268062278628349, -0.00396089069545269, 0.08811880648136139, -0.21238042414188385, -0.11282192170619965, -0.044059403240680695, -0.06084591522812843, 0.036432940512895584, -0.09591106325387955, -0.02578076161444187, -0.17557445168495178, 0.1793876737356186, 0.029863405972719193, 0.04422519728541374, -0.11862466484308243, 0.12649981677532196, 0.1126561239361763, 0.05728137120604515, -0.004186265170574188, 0.06528086960315704, -0.12882091104984283, -0.015885010361671448, -0.05230759084224701, 0.014392876997590065, -0.06838948279619217, 0.006548810750246048, 0.10113353282213211, -0.07448235899209976, -0.1585807055234909, -0.040163274854421616, 0.22680439054965973, -0.13711054623126984, -0.060555774718523026, 0.04803843051195145, 0.15692277252674103, -0.025842934846878052, 0.057778749614953995, 0.04242220148444176, -0.053509585559368134, 0.13711054623126984, -0.10701917111873627, -0.019076520577073097, -0.03564542531967163, -0.06946713477373123, 0.02304518222808838, 0.041821204125881195, 0.12517347931861877, 0.1407579779624939, 0.12898670136928558, -0.09756898880004883, -0.14656072854995728, 0.0992269217967987, 0.13503813743591309, 0.062213703989982605, 0.14929631352424622, 0.009320656768977642, 0.06436900794506073, 0.21901212632656097, -0.1496278941631317, -0.05301221087574959, -0.21586206555366516, -0.038401730358600616, 0.07473105192184448, -0.10254277288913727, -0.18054822087287903, -0.08563192188739777, 0.06279397755861282, 0.09284389764070511, 0.08376675099134445, 0.056120820343494415, -0.12625113129615784, -0.11066661030054092, -0.0003911670937668532, -0.057903092354536057, 0.03274405375123024, 0.03506515175104141, 0.05703268200159073]",4
"Is the following sentence plausible? ""DJ Chark caught the back shoulder fade in the NFC divisional round.""",yes,"[0.022939808666706085, -0.03794482722878456, -0.1322593241930008, -0.05652337893843651, 0.11742722988128662, 0.21548818051815033, 0.05802196264266968, 0.018117453902959824, -0.041729699820280075, 0.05617755278944969, -0.0025840906891971827, -0.028895705938339233, -0.04826197400689125, 0.11581337451934814, 0.09767670184373856, 0.05033693462610245, -0.05160496383905411, -0.150626540184021, -0.0042099542915821075, -0.004010623786598444, -0.06109597161412239, -0.0978304073214531, 0.1425572633743286, -0.023996500298380852, -0.13333523273468018, 0.012132737785577774, -0.03129727765917778, -0.01378501858562231, 0.0073584141209721565, 0.03715711086988449, -0.06662919372320175, -0.06789722293615341, 0.11658187210559845, -0.09721560031175613, 0.0003629374550655484, 0.011902187019586563, -0.12019383907318115, -0.07811830937862396, 0.04422733560204506, -0.022401856258511543, 0.24576719105243683, 0.15723566710948944, 0.031028300523757935, 0.12326784431934357, 0.264979749917984, -0.12634186446666718, 0.005168181378394365, 0.07977058738470078, 0.047416623681783676, 0.1752186417579651, -0.08699451386928558, 0.08883891999721527, -0.0070221940986812115, 0.18520916998386383, 0.017003124579787254, 0.07481374591588974, -0.07316146790981293, 0.0010170653695240617, 0.08599546551704407, -0.07381469011306763, 0.12050123512744904, -0.10574598610401154, 0.16261519491672516, 0.003309365129098296, -0.18228885531425476, -0.11681242287158966, -0.009808016940951347, 0.16753360629081726, 0.044419459998607635, 0.09690820425748825, 0.02099933847784996, -0.04161442443728447, 0.07423736900091171, -0.17614084482192993, 0.05813723802566528, 0.03573537990450859, 0.039731595665216446, -0.07915578782558441, 0.13633239269256592, 0.06255612522363663, 0.07369941473007202, 0.08276774734258652, -0.07658130675554276, -0.1759871393442154, -0.017569895833730698, -0.2471504956483841, -0.14978119730949402, -0.07446791976690292, 0.03429443761706352, 0.12096233665943146, 0.08284460008144379, 0.1182725802063942, 0.08484271168708801, -0.0012608248507604003, 0.004099482204765081, 0.15539126098155975, 0.10759039223194122, 0.11396896094083786, 0.019539183005690575, 0.009500616230070591]",4
"Is the following sentence plausible? ""Drew Brees went for it on fourth down.""",yes,"[0.03701320290565491, 0.0673232302069664, 0.06780896335840225, -0.004192522261291742, -0.06790611147880554, -0.02516120672225952, -0.015057864598929882, 0.08957000821828842, -0.02678842656314373, -0.07640652358531952, -0.05571410059928894, 0.010109413415193558, -0.14620700478553772, -0.09272730350494385, 0.043667808175086975, -0.03290872275829315, -0.12133724987506866, -0.138532355427742, 0.036624614149332047, -0.05843422934412956, 0.04983667656779289, 0.008858638815581799, 0.08412975072860718, 0.03890758007764816, 0.03016430325806141, -0.03412306308746338, -0.10589079558849335, 0.031475793570280075, -0.010230847634375095, -0.11094246059656143, 0.021688183769583702, -0.08942428976297379, 0.05425688624382019, -0.003643031930550933, 0.05945428088307381, -0.02494262531399727, -0.012981336563825607, 0.006302445195615292, 0.05930855870246887, -0.05051670968532562, 0.05542265623807907, -0.04536788910627365, 0.2722073495388031, -0.03300586715340614, -0.031961534172296524, -0.0013820752501487732, 0.04983667656779289, -0.007304278668016195, -0.05483977124094963, 0.16476218402385712, 0.07116055488586426, 0.06295158714056015, -0.056345559656620026, 0.08014670014381409, 0.04264776036143303, -0.27861908078193665, 0.09913904219865799, -0.20420408248901367, 0.04094767943024635, 0.005883496254682541, -0.09156153351068497, -0.09544743597507477, 0.13814376294612885, -0.048306602984666824, -0.13493789732456207, 0.08519837260246277, 0.021591035649180412, 0.15650464594364166, 0.17331117391586304, 0.25802379846572876, -4.541931048152037e-06, 0.13124629855155945, -0.13969813287258148, -0.05075957626104355, 0.17680847644805908, 0.15475599467754364, 0.17991720139980316, 0.0961274653673172, -0.07834947109222412, -0.07640652358531952, 0.13824091851711273, 0.03876185789704323, 0.034681662917137146, -0.12813757359981537, -0.06523455679416656, -0.09646748006343842, -0.1864260882139206, 0.06504026055335999, -0.051391035318374634, 0.045222166925668716, 0.08068101108074188, 0.009447596035897732, 0.023169683292508125, -0.20031817257404327, 0.009156153537333012, -0.03623602166771889, 0.046169355511665344, 0.28541940450668335, 0.013709942810237408, 0.08699560165405273]",0
"Is the following sentence plausible? ""Wayne Rooney threw a touchdown in the Superbowl.""",no,"[-0.07632703334093094, -0.08127681910991669, -0.18880897760391235, 0.19469133019447327, 0.013719498179852962, -0.017521502450108528, 0.1695837527513504, 0.12905295193195343, -0.12847906351089478, 0.03203009441494942, -0.1482064425945282, 0.053515009582042694, -0.171161949634552, 0.11865124106407166, -0.008411038666963577, -0.060329921543598175, -0.20717337727546692, -0.021215902641415596, 0.028784044086933136, -0.01584467478096485, 0.01561153307557106, 0.12733128666877747, 0.18077455461025238, -0.01605091616511345, 0.023278310894966125, 0.12159240990877151, -0.07869432121515274, 0.001569223590195179, -0.04149923846125603, 0.1965564638376236, -0.00919116660952568, -0.121233731508255, 0.09949774295091629, -0.06520796567201614, -0.00039090481004677713, -0.030021488666534424, 0.10961250960826874, 0.008863871917128563, 0.12489226460456848, -0.09203720837831497, 0.09196546673774719, 0.054626915603876114, 0.050860777497291565, -0.04264701530337334, 0.06732417643070221, 0.04967713728547096, -0.18680037558078766, -0.13256801664829254, 0.09397407621145248, 0.0899568647146225, -0.060007110238075256, -0.035329949110746384, 0.08593965321779251, 0.020982760936021805, 0.061083149164915085, -0.038055915385484695, 0.13715910911560059, 0.018794815987348557, -0.11908165365457535, 0.005052899941802025, -0.01787121593952179, -0.04415346682071686, 0.0439741276204586, -0.03423597663640976, -0.15007157623767853, -0.19311313331127167, -0.07030121982097626, 0.08543749898672104, 0.0792682096362114, 0.05132706090807915, 0.08156375586986542, 0.15035852789878845, -0.07618356496095657, 0.010410677641630173, 0.22022932767868042, 0.03970583900809288, 0.0982782319188118, 0.22539430856704712, 0.02155664935708046, -0.16398835182189941, 0.010473446920514107, 0.020139863714575768, -0.09720219671726227, -0.039885181933641434, -0.1053800880908966, -0.0883786752820015, -0.06316348910331726, -0.0054608979262411594, -0.02473096363246441, 0.11197979748249054, -0.09404581040143967, 0.07116204500198364, 0.05763982608914375, -0.14325666427612305, 0.04203725978732109, 0.07403148710727692, -0.10021509975194931, 0.03534788265824318, 0.22123362123966217, 0.03430771082639694]",4
"Is the following sentence plausible? ""Yaya Toure scored a freekick.""",yes,"[-0.03137426823377609, 0.05572907626628876, -0.10734730958938599, 0.00021738871873822063, 0.03732723370194435, 0.011392077431082726, 0.026196930557489395, 0.06523055583238602, -0.030714981257915497, -0.07965728640556335, 0.001385228242725134, -0.017267480492591858, -0.16489911079406738, -0.0009640848729759455, 0.07050484418869019, 0.03668733686208725, -0.3122689723968506, 0.08880972862243652, -0.006175960414111614, 0.10928638279438019, 0.12200672924518585, 0.07826115190982819, 0.12270479649305344, 0.062360718846321106, 0.05890916287899017, -0.050338439643383026, 0.04448242858052254, -0.14752498269081116, -0.2162458747625351, 0.2637144923210144, 0.07263782620429993, -0.08244955539703369, -0.0007120048394426703, -0.030075086280703545, -0.017403217032551765, 0.00587540352717042, -0.08927510678768158, 0.10308133810758591, 0.04029402136802673, -0.02573155239224434, -0.07829993218183517, -0.17405155301094055, 0.15365247428417206, 0.10610629618167877, 0.10835562646389008, -0.11859395354986191, -0.06402832269668579, 0.09416158497333527, 0.040100112557411194, 0.20786906778812408, -0.005633018910884857, -0.058521345257759094, -0.08601745963096619, 0.011275732889771461, 0.03692002594470978, -0.03496155887842178, 0.08741359412670135, 0.00681100832298398, -0.12146379053592682, -0.07550766319036484, -0.1370539665222168, -0.04560709372162819, 0.15070506930351257, 0.16427861154079437, -0.15070506930351257, -0.13426169753074646, -0.0031437287107110023, -0.10447747260332108, 0.09509234130382538, 0.12890984117984772, 0.014930893667042255, 0.20895494520664215, 0.10393453389406204, 0.05766815319657326, 0.004847692791372538, -0.10595117509365082, 0.11037226766347885, 0.08322519063949585, 0.1024608314037323, -0.044133394956588745, 0.052277516573667526, 0.03432166576385498, -0.14589616656303406, -0.03835494443774223, 0.03534937649965286, -0.11556899547576904, -0.1900295466184616, -0.06577349454164505, -0.004457453265786171, 0.138372540473938, -0.1700182855129242, -0.010500102303922176, -0.05452684685587883, 0.01603616774082184, 0.028581995517015457, 0.022900499403476715, -0.04029402136802673, -0.07073753327131271, 0.10401209443807602, -0.04502537101507187]",3
"Is the following sentence plausible? ""Walker Buehler earned a trip to the penalty box.""",no,"[-0.09645543247461319, -0.059148773550987244, 0.03772349655628204, 0.009410032071173191, -0.04993673786520958, -0.12638413906097412, 0.024739110842347145, 0.08432555943727493, -0.06348384916782379, -0.06902774423360825, -0.03261727839708328, 0.15481223165988922, 0.07115359604358673, -0.062358397990465164, 0.13397051393985748, 0.1079600602388382, 0.016100220382213593, 0.15339498221874237, -0.1865749955177307, 0.15014368295669556, -0.08424219489097595, 0.10829352587461472, 0.041308268904685974, 0.07357123494148254, 0.023905441164970398, -0.09787267446517944, -0.28894945979118347, -0.2789454460144043, 0.02678159810602665, 0.12613403797149658, 0.005236479919403791, -0.05710628628730774, -0.008070952259004116, -0.14755931496620178, -0.03984935209155083, 0.035785216838121414, 0.0020359745249152184, -0.0024997026193886995, 0.03657720237970352, -0.12555046379566193, -0.07411312311887741, -0.1949116736650467, 0.021196018904447556, -0.08207465708255768, -0.05994075909256935, 0.11387910693883896, 0.06898605823516846, 0.03632710129022598, -0.06861091405153275, -0.08861894905567169, -0.15806353092193604, 0.1516442894935608, 0.031575191766023636, 0.08049068599939346, 0.09287066012620926, -0.12296608835458755, 0.11713041365146637, 0.006424457300454378, 0.17573730647563934, -0.08811875432729721, 0.06806902587413788, -0.09737247228622437, -0.14072322845458984, -0.044101059436798096, -0.1318029761314392, -0.14355769753456116, -0.11779734492301941, 0.0117443036288023, 0.15848036110401154, 0.048144351691007614, -0.020424876362085342, 0.022592414170503616, -0.07077845185995102, 0.09036965668201447, 0.044017691165208817, -0.009290192276239395, 0.03399283066391945, 0.058398474007844925, 0.01164009515196085, 0.1528947800397873, -0.05268784239888191, 0.11129473149776459, 0.12888513505458832, -0.051687441766262054, 0.009670553728938103, -0.05677282065153122, -0.20458222925662994, 0.08440892398357391, -0.02496836893260479, -0.02846977673470974, -0.10604262351989746, 0.01903890259563923, -0.10787669569253922, 0.12313282489776611, 0.1009572446346283, -0.04635196551680565, 0.015808437019586563, -0.02517678588628769, 0.17323629558086395, -0.0069507104344666]",1
"Is the following sentence plausible? ""James Harden shot from outside the eighteen.""",no,"[-0.28927817940711975, -0.06390050053596497, -0.025299210101366043, 0.00011436409113230184, 0.11365702003240585, -0.10220713168382645, -0.00101686199195683, 0.14245013892650604, 0.05518679693341255, 0.01044486928731203, -0.001178665435872972, 0.03338148817420006, 0.03243434429168701, 0.060364507138729095, -0.0027019851841032505, 0.08646352589130402, -0.040369290858507156, 0.06272184103727341, -0.10279645770788193, 0.0073561351746320724, -0.060111936181783676, 0.05215594545006752, 0.037948817014694214, -0.06335326284170151, -0.020405644550919533, -0.016617076471447945, 0.008887347765266895, -0.023720640689134598, -0.01586988754570484, 0.11559339612722397, 0.10229131579399109, -0.10860560089349747, 0.07724467664957047, 0.07934943586587906, 0.04832528159022331, 0.080065056681633, -0.04853575676679611, 0.21519061923027039, 0.105069600045681, -0.08124372363090515, -0.06192202866077423, -0.019690025597810745, -0.06874144822359085, -0.06499497592449188, 0.07282468676567078, 0.030687395483255386, -0.28692084550857544, 0.037801481783390045, 0.010828988626599312, 0.057880889624357224, -0.1921224594116211, 0.07686582207679749, -0.09471418708562851, 0.17747333645820618, 0.057628318667411804, -0.16770724952220917, 0.09665056318044662, 0.004104281309992075, 0.1666969656944275, -0.22091557085514069, -0.0013279718114063144, 0.012986366637051105, -0.03546519950032234, 0.07194068282842636, -0.18269313871860504, 0.2175479531288147, 0.16728629171848297, 0.02917196787893772, 0.14901697635650635, 0.15608897805213928, 0.034118153154850006, 0.17444248497486115, -0.03525472432374954, -0.031508252024650574, 0.04224252700805664, 0.11020521819591522, -0.09286199510097504, 0.08646352589130402, 0.07442430406808853, -0.021300166845321655, 0.041547954082489014, 0.010471179150044918, 0.008961014449596405, 0.03910643234848976, 0.0400325283408165, -0.09690313041210175, -0.1542367935180664, -0.0016456589801236987, -0.03904329240322113, 0.07177230715751648, -0.025046639144420624, -0.008198038674890995, 0.19346950948238373, -0.14716479182243347, -0.0665104016661644, -0.09521932899951935, 0.08915761858224869, -0.008119110018014908, 0.1805041879415512, -0.01836402714252472]",1
"Is the following sentence plausible? ""Aaron Nola converted the first down.""",no,"[-0.052253857254981995, -0.05412483960390091, -0.1597462296485901, 0.08922802656888962, -0.06249971315264702, 0.016593828797340393, 0.1230393499135971, 0.061341483145952225, 0.07083003968000412, -0.10611141473054886, 0.031160760670900345, 0.08829253911972046, -0.14451108872890472, 0.07524020969867706, 0.13765083253383636, -0.06824629753828049, 0.022707931697368622, -0.042631663382053375, -0.02352091856300831, 0.03940199315547943, 0.025325078517198563, 0.10236945003271103, -0.07506202161312103, -0.06013870984315872, -0.10210216790437698, 0.0030765405390411615, -0.2239832878112793, 0.08829253911972046, -0.0736365094780922, -0.011816143058240414, 0.02679513581097126, -0.06174241006374359, -0.09996390342712402, 0.03427906334400177, 0.14477837085723877, -0.022563153877854347, 0.10415133833885193, -0.23307090997695923, 0.05964869260787964, 0.1396109014749527, 0.04771004244685173, -0.09141083806753159, 0.03768692538142204, -0.05180838704109192, 0.14362014830112457, 0.1687447726726532, 0.09118810296058655, -0.10602232068777084, -0.035570934414863586, 0.045839060097932816, -0.08824799209833145, -0.011081114411354065, 0.08891619741916656, 0.24821695685386658, -0.08232321590185165, 0.01012891810387373, 0.07221099734306335, -0.015669474378228188, -0.14932219684123993, -0.08401600271463394, -0.05131836608052254, -0.18210892379283905, 0.13978908956050873, 0.13569074869155884, -0.0558621808886528, 0.0008867675787769258, -0.060584183782339096, -0.004883485846221447, 0.024211399257183075, 0.18513813614845276, 0.09844929724931717, 0.1099424734711647, -0.12134655565023422, -0.14825305342674255, -0.05857956036925316, -0.02203972451388836, -0.006141944322735071, 0.050828348845243454, -0.05800044536590576, 0.06962726265192032, 0.16838839650154114, -0.01698361709713936, 0.0682908445596695, -0.21845942735671997, 0.10780420899391174, -0.13773992657661438, -0.1437983363866806, -0.2008187472820282, -0.08276868611574173, 0.17123940587043762, -0.002862157067283988, 0.09002988040447235, 0.012673676013946533, -0.10254763811826706, -0.044123996049165726, -0.0014770178822800517, 0.07924945652484894, 0.024322766810655594, 0.0861542746424675, 0.006347975227981806]",4
"Is the following sentence plausible? ""Pierre-Luc Dubois skated backwards.""",yes,"[0.07993903011083603, 0.02133009396493435, -0.17029356956481934, -0.1163933128118515, 0.09677743911743164, 0.17550133168697357, -0.06570450216531754, 0.1595308780670166, 0.09721142053604126, -0.11465739458799362, 0.01893235743045807, -0.08657892048358917, 0.06613848358392715, -0.02219805307686329, -0.1315826028585434, 0.03838549181818962, 0.04365834221243858, -0.08887901157140732, 0.14008860290050507, 0.10615139454603195, 0.00037905402132309973, -0.10927604883909225, 0.12307660281658173, 0.02074422314763069, 0.006341526284813881, -0.0034067395608872175, 0.1492021679878235, 0.0016545470571145415, 0.09070172905921936, 0.17515414953231812, -0.06774421036243439, -0.07499166578054428, -0.07737855613231659, 0.04140164703130722, 0.0004417776071932167, -0.03643258288502693, -0.14173771440982819, -0.05667772889137268, 0.040446892380714417, 0.022328248247504234, 0.12359737604856491, -0.08059000223875046, 0.055896565318107605, 0.13505443930625916, 0.1855696588754654, 0.08328067511320114, 0.11040439456701279, -0.08610153943300247, 0.10042286664247513, 0.10207199305295944, 0.10563062131404877, 0.1414773315191269, -0.034089092165231705, 0.2636859714984894, -0.10858168452978134, 0.0003539645695127547, 0.05520219728350639, -0.08510339260101318, 0.13323171436786652, 0.05563617870211601, 0.0906149297952652, -0.09643025696277618, -0.034306082874536514, -0.080242820084095, 0.008516849018633366, -0.04621882364153862, -0.07069526612758636, 0.08089378476142883, -0.01745682768523693, 0.14225849509239197, -0.054811615496873856, 0.12151427567005157, 0.10007568448781967, -0.0008503286517225206, -0.1033739298582077, 0.15458351373672485, 0.08701290190219879, 0.29770997166633606, 0.05889102444052696, 0.03528253734111786, -0.08571095764636993, 0.10406829416751862, 0.009352259337902069, 0.06817818433046341, -0.05980238318443298, -0.18713198602199554, -0.01113157533109188, 0.03161541000008583, 0.13002027571201324, 0.1474662572145462, 0.03207108750939369, -0.07238779217004776, -0.15076449513435364, 0.007697712164372206, 0.12646164000034332, -0.04025160148739815, 0.09556229412555695, -0.006715833675116301, 0.030573859810829163, -0.04773775115609169]",2
